sp_id	gq_type	stcotrbg	persons	latitude	longitude	elevation
450003399	C	420030103002	3256	40.4374960	-79.9930460	252.053328
450003400	C	420030201001	478	40.4375210	-79.9994520	229.576815
450003401	C	420030201001	479	40.4385256	-80.0014617	224.348308
450003402	C	420039822001	4475	40.4445020	-79.9546920	278.178550
450003403	C	420030809001	55	40.4623320	-79.9455000	292.170237
450003404	C	420031401003	527	40.4446160	-79.9429140	285.324763
450003405	C	420031402001	258	40.4484320	-79.9260830	319.583312
450003406	C	420032602002	13	40.4844085	-80.0158246	361.956965
450003523	C	420030402002	1177	40.4398510	-79.9639267	315.453864
450003904	C	420031113004	30	40.4671900	-79.9209000	282.882242
450003905	C	420034135004	354	40.5697773	-80.0119770	339.186539
450003906	C	420034511023	1157	40.5210883	-80.2117850	359.834498
450004554	C	420035620003	70	40.4481874	-79.9558045	298.985209
450004555	C	420030404002	313	40.4482650	-79.9499687	280.813777
450004556	C	420030405001	506	40.4406805	-79.9542332	269.235578
450004557	C	420030405002	230	40.4382299	-79.9582160	273.852776
450004558	C	420035620001	12	40.4509240	-79.9510070	278.880613
450004559	C	420030510002	799	40.4459973	-79.9651192	338.553197
450004560	C	420030706002	3	40.4519412	-79.9274584	278.748350
450004561	C	420030709003	130	40.4489296	-79.9431349	275.068720
450004562	C	420030709004	165	40.4525514	-79.9436227	275.118582
450004563	C	420030809002	2	40.4636514	-79.9429628	296.241487
450004564	C	420031102004	8	40.4725674	-79.9227477	289.058279
450004565	C	420039818001	201	40.4805727	-79.9021492	310.522362
450004566	C	420031401001	145	40.4442956	-79.9352599	321.529613
450004567	C	420031401002	743	40.4398595	-79.9313398	320.311523
450004568	C	420031401004	1508	40.4461764	-79.9428625	283.883291
450004569	C	420031406002	6	40.4448737	-79.8972215	299.096891
450004570	C	420031609001	101	40.4295582	-79.9689512	226.766274
450004571	C	420035628001	25	40.4199028	-80.0709880	280.777903
450004572	C	420034511012	41	40.5292868	-80.2132449	324.204462
450004573	C	420034511052	4	40.5080068	-80.2297330	341.939556
450004574	C	420035030022	190	40.3488690	-79.8247178	321.791290
450004575	C	420035215002	8	40.4476082	-79.7424446	330.018484
450008429	P	420030103001	2340	40.4345346	-79.9934768	223.959927
450008430	P	420039809001	1795	40.4705920	-80.0412735	220.748920
450010317	P	420030409001	24	40.4367686	-79.9704390	255.033948
450010318	P	420030409001	23	40.4384664	-79.9624948	284.666182
450021803	P	420030103001	254	40.4341506	-79.9847430	218.142727
450021804	P	420030501003	2	40.4459724	-79.9776953	308.791512
450021805	P	420030709001	30	40.4544392	-79.9379456	274.746673
450021806	P	420030807001	6	40.4627928	-79.9335930	290.990666
450021807	P	420030807001	20	40.4627928	-79.9335930	290.990666
450021808	P	420030807002	10	40.4592965	-79.9351049	277.587767
450021809	P	420031102004	5	40.4725674	-79.9227477	289.058279
450021810	P	420035619001	75	40.4740878	-79.8963098	312.487845
450021811	P	420035619001	18	40.4740878	-79.8963098	312.487845
450021812	P	420031807003	10	40.4228314	-80.0010209	335.253069
450021813	P	420035627002	3	40.4527421	-80.0067308	235.029273
450021814	P	420035627002	15	40.4527421	-80.0067308	235.029273
450021815	P	420032503001	2	40.4584905	-80.0120067	251.223865
450021816	P	420032507001	8	40.4599421	-80.0218658	247.487515
450021817	P	420032614004	1	40.4687671	-80.0062115	364.953253
450021818	P	420032614004	4	40.4687671	-80.0062115	364.953253
450021819	P	420032615002	12	40.4699239	-80.0194198	331.875149
450021820	P	420032615002	5	40.4699239	-80.0194198	331.875149
450021821	P	420032701001	6	40.4845890	-80.0396192	280.111014
450021822	P	420032701002	9	40.4823978	-80.0463600	295.015909
450021823	P	420039809001	2	40.4665415	-80.0419473	216.365078
450021824	P	420032904002	9	40.3877404	-79.9814709	375.746908
450021825	P	420034070023	22	40.6167313	-79.8837981	319.487480
450021826	P	420034070023	13	40.6167313	-79.8837981	319.487480
450021827	P	420034350002	53	40.5092712	-80.0979731	254.130289
450021828	P	420034350002	15	40.5092712	-80.0979731	254.130289
450021829	P	420034370002	5	40.5521550	-80.1072714	374.757469
450021830	P	420034370002	3	40.5521550	-80.1072714	374.757469
450021831	P	420034513001	5	40.4730196	-80.1913585	345.273980
450021832	P	420034571002	28	40.3592371	-80.1123526	258.205967
450021833	P	420034592013	45	40.4407560	-80.1351320	356.837924
450021834	P	420034592013	49	40.4407560	-80.1351320	356.837924
450021835	P	420034732002	7	40.3823781	-80.0481498	363.848086
450021836	P	420034734022	7	40.3669468	-80.0380440	357.317525
450021837	P	420034868001	1	40.3705674	-79.8485042	276.364938
450021838	P	420034900023	1	40.3021900	-80.0064183	334.865383
450021839	P	420034900023	19	40.3021900	-80.0064183	334.865383
450021840	P	420035138002	106	40.4026285	-79.8670433	236.808240
450021841	P	420035138002	1	40.4026285	-79.8670433	236.808240
450021842	P	420035235011	1	40.4725153	-79.8038189	347.995024
450021843	P	420035262022	10	40.4671388	-79.7464975	364.513206
450021844	P	420035512002	55	40.3541674	-79.8298235	285.520930
450021845	P	420035512002	13	40.3541674	-79.8298235	285.520930
450021846	P	420035604002	3	40.4417228	-79.8905826	273.411119
450021847	P	420035604002	10	40.4417228	-79.8905826	273.411119
450021848	P	420035610001	2	40.4391171	-79.8775561	292.287896
450021849	P	420035610001	10	40.4391171	-79.8775561	292.287896
450030391	N	420030902003	29	40.4666752	-79.9579546	265.758383
450030392	N	420031413003	149	40.4337400	-79.9275175	333.342003
450030393	N	420031414004	64	40.4139913	-79.9215421	269.475754
450030394	N	420035623002	98	40.4087606	-79.9282790	347.330250
450030395	N	420032614004	40	40.4676984	-80.0098552	341.832271
