hosp_id	workers	physicians	beds	latitude	longitude	elevation
420000002	909	21	200	40.346519	-79.855764	281.112603
420000029	2261	10	495	40.436276	-79.985191	253.888961
420000030	1345	136	471	40.469444	-79.955530	266.000523
420000034	1035	2	250	40.626449	-79.723195	310.589525
420000035	270	4	55	40.475759	-80.036577	245.374757
420000038	980	13	186	40.543028	-80.178509	243.385188
420000052	3907	283	829	40.451164	-79.999803	227.520335
420000056	1836	17	473	40.455140	-79.941130	274.202635
420000077	354	7	154	40.495299	-80.060594	272.947387
420000092	2112	243	500	40.461078	-79.946455	289.451664
420000104	954	68	237	40.490542	-79.907063	227.489774
420000108	1654	1	346	40.570051	-80.021897	353.226683
420000116	1973	23	341	40.437381	-79.961157	278.915812
420000122	0	0	590	40.477025	-79.892829	343.650312
420000130	526	1	250	40.411207	-79.872278	247.052158
420000131	0	0	686	40.446075	-79.960209	354.545610
420000133	567	2	150	40.425633	-79.977790	239.531234
420000137	401	3	146	40.455924	-80.002261	237.137111
420000143	434	1	148	40.442388	-79.961493	289.003736
420000150	0	0	336	40.444807	-79.951152	275.112923
420000158	421	9	138	40.465986	-80.100964	331.810288
420000165	3135	31	1571	40.442460	-79.960253	289.003736
420000174	600	4	175	40.446373	-79.891593	278.209270
420000178	129	12	94	40.444004	-80.178224	355.138722
420000218	1742	2	328	40.366906	-80.086822	287.561322
420000219	2566	228	600	40.436008	-79.961733	278.745195
420000228	69	9	13	40.465226	-79.929931	286.038260
420000243	473	24	202	40.438565	-79.988868	241.248481
420000245	1690	20	390	40.351389	-79.960502	305.227749
420000247	1173	27	353	40.430970	-79.776300	311.479648
420000260	43	0	49	40.444004	-80.178224	355.138722
420000261	23	0	41	40.436276	-79.985191	253.888961
420000283	21	0	35	40.689877	-80.308020	224.970901
420000285	26	0	32	40.442460	-79.960253	289.003736
420000286	26	0	30	40.346519	-79.855764	281.112603
420000296	32	0	72	40.455924	-80.002261	237.137111
420000310	73	0	156	40.416399	-79.758507	305.192824
420000316	0	0	46	40.454067	-80.033874	220.874657
420000317	0	0	87	40.444886	-79.986584	304.291001
420000318	0	0	280	40.447734	-79.951267	283.930325
420000319	0	0	12	40.403447	-80.023363	329.555864
420000325	0	0	1	40.369225	-80.035406	330.956226
420000348	195	1	85	40.587285	-80.170570	363.390337
420000350	406	4	196	40.446373	-79.891593	278.209270
420000354	149	0	63	40.444004	-80.178224	355.138722
420000355	23	0	41	40.444590	-79.975884	308.908051
420000367	253	0	89	40.424883	-79.745605	339.080613
420000370	48	0	32	40.442460	-79.960253	289.003736
420000371	26	0	30	40.346519	-79.855764	281.112603
420000375	88	0	72	40.455924	-80.002261	237.137111
420000379	382	0	162	40.538727	-79.900461	344.167544
420000381	187	5	85	40.587285	-80.170570	363.390337
420000394	290	0	85	40.443402	-79.919731	333.237200
420000395	262	0	89	40.424883	-79.745605	339.080613
420000397	67	0	44	40.537057	-80.151008	342.722237
420000400	245	3	38	40.442070	-79.919227	335.210143
420000411	1977	136	312	40.466512	-79.953041	283.678714
420000413	9	0	16	40.464307	-79.937420	296.870475
420000417	221	6	62	40.442070	-79.919227	335.210143
420000423	282	9	500	40.402902	-80.082979	245.661468
420000432	798	16	400	40.351874	-80.091053	322.524376
420000436	470	78	277	40.456731	-79.954846	297.030061
420000450	185	16	94	40.444004	-80.178224	355.138722
420000452	206	2	89	40.475759	-80.036577	245.374757
420000463	0	0	0	40.442460	-79.960253	289.003736
420000465	0	0	0	40.466512	-79.953041	283.678714
420000466	0	0	0	40.451164	-79.999803	227.520335
