sp_id	latitude	longitude	elevation
513955410	40.4132047	-79.8218767	273.572756
513969062	40.4957220	-79.9156177	232.710464
513976658	40.5228620	-79.9460377	238.522131
513979065	40.3401120	-79.9570177	321.915616
513502817	40.2860990	-79.5426578	310.696142
513968691	40.4505820	-79.9142477	297.294631
514021735	40.3814821	-80.2029876	388.204867
514022351	40.4409600	-80.2128656	334.414667
514017422	40.3439421	-80.1367376	338.325179
514015616	40.3584521	-80.1225577	253.167007
513976477	40.5963120	-79.9480777	345.442658
513486070	40.0513326	-79.8959872	348.531831
513938027	40.6033120	-79.5607378	270.193759
513985516	40.4285420	-79.9877477	230.204780
513486428	40.2699221	-79.8905977	228.837126
513953690	40.3775020	-79.8009177	367.921604
513960186	40.5517130	-79.8646157	365.868355
513484421	40.1983521	-79.9335077	270.930982
513571768	40.0702320	-76.7128517	0.000000
513953521	40.5420320	-79.7988977	233.509236
513485097	40.2971627	-79.9086552	229.896773
514006420	40.8580720	-80.0620276	323.274154
513468443	40.1224721	-80.2920976	337.845062
513987010	40.3773320	-79.9904577	339.681734
513967022	40.4395220	-79.8972477	282.351935
513479762	40.3123611	-80.0330867	319.494499
513984600	40.4289820	-79.9828577	230.649352
513995473	40.6260120	-80.0190977	375.765719
514015525	40.3589421	-80.1148777	255.328755
513971354	40.5758820	-79.9267777	362.412258
513991665	40.4386320	-80.0031077	225.701310
514560971	42.0768117	-80.2028975	217.760672
513970262	40.4231990	-79.9239497	331.539067
513952597	40.4452620	-79.7877177	324.202455
513469865	40.1641521	-80.2448586	319.433633
513506234	40.3061420	-79.4516039	374.244760
513480057	40.3284721	-80.0222977	343.488926
513998052	40.5738720	-80.0302677	355.727828
514506238	41.6287740	-83.5052285	0.000000
513964387	40.4866490	-79.8883137	228.257088
514009109	40.6286120	-80.0682276	368.618572
513473708	40.2795791	-80.1715516	331.210661
513476797	40.3150401	-80.0892417	329.896228
514013648	40.6902620	-80.1023476	321.612534
514011015	40.6548620	-80.0877576	332.244191
513983863	40.3674820	-79.9806177	380.947669
513960292	40.4266770	-79.8624767	320.995258
514256909	40.9653379	-80.3069265	327.276079
513480637	40.2904321	-80.0265577	310.024171
513963096	40.3916120	-79.8791177	346.538162
514017469	40.3411021	-80.1421076	340.856098
514016412	40.4272434	-80.1250146	297.175684
513947002	40.4807220	-79.7437778	372.782721
513480279	40.3077421	-80.0321477	319.953012
513967081	40.4881820	-79.8981177	228.031655
514018444	40.5586842	-80.1579237	362.224375
514019586	40.5015020	-80.1724476	333.234043
512476293	43.1136114	-77.6241182	154.873019
513968643	40.4723820	-79.9115177	281.241765
513982925	40.4571920	-79.9740377	224.889572
513480121	40.3340621	-80.0252077	346.273947
514005081	40.6257820	-80.0540277	380.351909
514019038	40.5363020	-80.1570876	348.983132
513963067	40.3603120	-79.8765377	348.903430
513482580	40.3127821	-79.9848277	351.499496
514003033	40.5541120	-80.0507077	353.718567
514005462	40.5026920	-80.0590277	312.994307
513983880	40.3814220	-79.9804377	376.565786
513953240	40.3766300	-79.8075137	331.396786
513474392	40.2632321	-80.1648176	344.711482
513996071	40.5242320	-80.0164677	302.098539
513486291	40.1325821	-79.8959877	278.110668
514009937	40.3621320	-80.0764377	324.261650
513504107	40.2998130	-79.5235648	369.370107
513469554	40.2366321	-80.2767976	401.239312
513968418	40.6182220	-79.9155077	337.842416
514018869	40.4447920	-80.1494276	371.436414
513495597	39.8990421	-79.7093178	339.768009
513572751	40.0820430	-76.7018237	159.972304
513981404	40.5611020	-79.9677677	306.400776
514257007	40.9888319	-80.3171175	319.922531
513987156	40.4556960	-79.9956697	234.920055
506342502	41.8817921	-87.6370812	117.812292
514004002	40.5556920	-80.0524577	372.464295
513942702	40.5112240	-79.6842208	276.942701
514002838	40.3725820	-80.0507177	377.778661
513470580	40.1691221	-80.2426976	331.981182
514002320	40.4925620	-80.0489477	285.262634
514032465	40.6348800	-80.4510505	237.038490
514244101	41.0998319	-80.6438974	140.006331
514018234	40.4552740	-80.1440236	340.793955
514011136	40.3729690	-80.0924657	278.296350
513474137	40.2719964	-80.1567766	325.702099
513998897	40.5204220	-80.0326677	334.147621
513970016	40.4339220	-79.9167877	351.280603
