sp_id	stcotrbg	race	hh_income	latitude	longitude	elevation
11043889	420659501001	1	13800	41.2504738	-78.8020092	183.345666
11043890	420659501001	1	50100	41.2489389	-78.7920583	170.235823
11043891	420659501001	1	17900	41.2501511	-78.8012828	182.586933
11043892	420659501001	1	23000	41.2499543	-78.8012680	190.070763
11043893	420659501001	1	39500	41.2486304	-78.7875176	167.363412
11043894	420659501001	1	17300	41.2502748	-78.8012257	158.271207
11043895	420659501001	1	36300	41.2516576	-78.7851551	163.727928
11043896	420659501001	1	12400	41.2479113	-78.7871405	153.703463
11043897	420659501001	1	17100	41.2487364	-78.7918694	162.933205
11043898	420659501001	1	15000	41.2519520	-78.7856109	186.196709
11043899	420659501001	1	15000	41.2516547	-78.7856670	160.077784
11043900	420659501001	1	63800	41.2488905	-78.7926881	163.459308
11043901	420659501001	1	50000	41.2490770	-78.7920505	162.354117
11043902	420659501001	1	47000	41.2488903	-78.7921647	163.340372
11043903	420659501001	1	5200	41.2518052	-78.7852659	164.751912
11043904	420659501001	1	131000	41.2512391	-78.7849653	173.953020
11043905	420659501001	1	170000	41.2518251	-78.7851671	162.808103
11043906	420659501001	1	22700	41.2483605	-78.7877988	152.546905
11043907	420659501001	1	15900	41.2500994	-78.7863163	161.522460
11043908	420659501001	1	15600	41.2517311	-78.7852334	173.253526
11043909	420659501001	1	9300	41.2519358	-78.7857562	166.517858
11043910	420659501001	1	97800	41.2513349	-78.7850570	174.055613
11043911	420659501001	1	142000	41.2512521	-78.7849574	164.717499
11043912	420659501001	1	600	41.2520214	-78.7857921	155.751177
11043913	420659501001	1	33740	41.2515898	-78.7852498	160.582885
11043914	420659501001	1	107000	41.2514173	-78.7859175	154.625543
11043915	420659501001	1	22800	41.2496870	-78.7864635	167.576166
11043916	420659501001	1	6500	41.2512530	-78.7854067	172.996555
11043917	420659501001	1	4520	41.2512512	-78.7853126	162.192379
11043918	420659501001	1	8500	41.2518556	-78.7857246	158.216085
11043919	420659501001	1	62200	41.2494912	-78.7853429	162.751319
11043920	420659501001	1	22400	41.2512836	-78.7849752	162.604425
11043921	420659501001	1	73500	41.2497636	-78.7853512	160.249213
11043922	420659501001	1	146400	41.2485767	-78.7870956	165.362937
11043923	420659501001	1	8400	41.2498762	-78.7856475	162.391117
11043924	420659501001	1	26000	41.2495814	-78.7864030	164.543879
11043925	420659501001	1	51000	41.2501324	-78.7853401	166.257685
11043926	420659501001	1	292000	41.2500138	-78.7852037	157.920879
11043927	420659501001	1	8800	41.2499890	-78.7852479	168.915040
11043928	420659501001	1	26600	41.2500159	-78.7856562	163.898406
11043929	420659501001	1	382960	41.2500201	-78.7856076	158.428946
11043930	420659501001	1	50000	41.2481627	-78.7870326	167.572632
11043931	420659501001	1	14400	41.2497192	-78.7864309	160.425823
11043932	420659501001	1	93530	41.2496719	-78.7859625	166.377970
11043933	420659501001	1	3900	41.2499129	-78.7855661	162.051037
11043934	420659501001	1	88300	41.2498317	-78.7858987	184.330704
11043935	420659501001	1	16000	41.2502013	-78.7854454	154.827606
11043936	420659501001	1	18200	41.2499839	-78.7857979	173.024983
11043937	420659501001	1	16500	41.2496879	-78.8013627	152.737515
11043938	420659501001	1	61100	41.2497565	-78.7877959	158.243699
11043939	420659501001	1	91900	41.2479293	-78.7879421	165.988528
11043940	420659501001	1	51000	41.2482946	-78.7871660	167.273826
