 
Run,1
Day,Date,EpiWeek,Popsize,ACTIVE.newStart,ACTIVE.Start,ACTIVE.totStart,ACTIVE.newExcluded,ACTIVE.Excluded,ACTIVE.totExcluded,ACTIVE.RR
0,2020-01-01,2020.01,45318,45318,0,45318,45318,45318,45318,0.000000
1,2020-01-02,2020.01,45318,0,0,45318,0,45318,45318,0.000000
2,2020-01-03,2020.01,45318,0,0,45318,0,45318,45318,0.000000
3,2020-01-04,2020.01,45318,0,0,45318,0,45318,45318,0.000000
4,2020-01-05,2020.02,45318,0,0,45318,0,45318,45318,0.000000
5,2020-01-06,2020.02,45318,0,0,45318,0,45318,45318,0.000000
6,2020-01-07,2020.02,45318,0,0,45318,0,45318,45318,0.000000
7,2020-01-08,2020.02,45318,0,0,45318,0,45318,45318,0.000000
8,2020-01-09,2020.02,45318,0,0,45318,0,45318,45318,0.000000
9,2020-01-10,2020.02,45318,0,0,45318,0,45318,45318,0.000000
