RT,HH_ID,DIVISION,PUMA,REGION,ST,ADJHSG,ADJINC,WGTP,NP,TYPEHUGQ,ACCESSINET,ACR,AGS,BATH,BDSP,BLD,BROADBND,COMPOTHX,CONP,DIALUP,ELEFP,ELEP,FS,FULFP,FULP,GASFP,GASP,HFL,HISPEED,HOTWAT,INSP,LAPTOP,MHP,MRGI,MRGP,MRGT,MRGX,OTHSVCEX,REFR,RMSP,RNTM,RNTP,RWAT,RWATPR,SATELLITE,SINK,SMARTPHONE,SMP,STOV,TABLET,TEL,TEN,VACS,VALP,VEH,WATFP,WATP,YRBLT,CPLT,FINCP,FPARC,GRNTP,GRPIP,HHL,HHLANP,HHLDRAGEP,HHLDRHISP,HHLDRRAC1P,HHT,HHT2,HINCP,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,MULTG,MV,NOC,NPF,NPP,NR,NRC,OCPIP,PARTNER,PLM,PLMPRP,PSF,R18,R60,R65,RESMODE,SMOCP,SMX,SRNT,SVAL,TAXAMT,WIF,WKEXREL,WORKSTAT,FACCESSP,FACRP,FAGSP,FBATHP,FBDSP,FBLDP,FBROADBNDP,FCOMPOTHXP,FCONP,FDIALUPP,FELEP,FFINCP,FFSP,FFULP,FGASP,FGRNTP,FHFLP,FHINCP,FHISPEEDP,FHOTWATP,FINSP,FKITP,FLAPTOPP,FMHP,FMRGIP,FMRGP,FMRGTP,FMRGXP,FMVP,FOTHSVCEXP,FPLMP,FPLMPRP,FREFRP,FRMSP,FRNTMP,FRNTP,FRWATP,FRWATPRP,FSATELLITEP,FSINKP,FSMARTPHONP,FSMOCP,FSMP,FSMXHP,FSMXSP,FSTOVP,FTABLETP,FTAXP,FTELP,FTENP,FVACSP,FVALP,FVEHP,FWATP,FYRBLTP,WGTP1,WGTP2,WGTP3,WGTP4,WGTP5,WGTP6,WGTP7,WGTP8,WGTP9,WGTP10,WGTP11,WGTP12,WGTP13,WGTP14,WGTP15,WGTP16,WGTP17,WGTP18,WGTP19,WGTP20,WGTP21,WGTP22,WGTP23,WGTP24,WGTP25,WGTP26,WGTP27,WGTP28,WGTP29,WGTP30,WGTP31,WGTP32,WGTP33,WGTP34,WGTP35,WGTP36,WGTP37,WGTP38,WGTP39,WGTP40,WGTP41,WGTP42,WGTP43,WGTP44,WGTP45,WGTP46,WGTP47,WGTP48,WGTP49,WGTP50,WGTP51,WGTP52,WGTP53,WGTP54,WGTP55,WGTP56,WGTP57,WGTP58,WGTP59,WGTP60,WGTP61,WGTP62,WGTP63,WGTP64,WGTP65,WGTP66,WGTP67,WGTP68,WGTP69,WGTP70,WGTP71,WGTP72,WGTP73,WGTP74,WGTP75,WGTP76,WGTP77,WGTP78,WGTP79,WGTP80,GEO_CODE
H,1,5,300,3,10,1105263,1117630,22,1,1,1.0,,,1.0,2.0,4.0,1.0,2.0,,2.0,3.0,50.0,2.0,2.0,,3.0,,3.0,2.0,9.0,,1.0,,,,,,2.0,1.0,4.0,2.0,900.0,1.0,9.0,1.0,1.0,1.0,,1.0,2.0,1.0,3.0,,,1.0,2.0,,1939.0,,,,950.0,50.0,1.0,9500.0,60.0,1.0,1.0,6.0,5.0,23000.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,,0.0,1.0,9.0,0.0,0.0,1.0,0.0,1.0,,,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,7,7,23,23,35,21,21,20,23,37,22,23,7,7,36,35,6,23,20,6,38,38,21,21,7,21,21,23,25,7,24,22,35,38,6,6,35,22,22,6,40,37,20,22,7,21,20,20,22,7,23,22,39,43,7,6,39,24,23,36,6,7,20,21,37,19,20,25,20,38,21,22,7,7,39,37,7,25,21,10001040100
H,2,5,104,3,10,1059761,1070512,20,3,1,1.0,,,1.0,3.0,7.0,1.0,2.0,,2.0,3.0,150.0,2.0,2.0,,4.0,50.0,9.0,1.0,9.0,,1.0,,,,,,2.0,1.0,6.0,2.0,1500.0,1.0,9.0,2.0,1.0,1.0,,1.0,1.0,1.0,3.0,,,3.0,2.0,,2010.0,,,,1700.0,55.0,4.0,1970.0,37.0,1.0,6.0,5.0,12.0,37000.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,,0.0,1.0,9.0,0.0,0.0,0.0,0.0,3.0,,,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,25,35,20,8,19,17,23,6,24,6,36,21,41,16,21,27,30,39,23,19,5,20,42,17,26,31,5,18,8,20,14,8,28,7,35,31,17,20,22,26,6,25,30,17,37,28,6,20,6,15,20,7,19,8,46,28,17,23,6,5,22,36,20,7,24,24,24,7,20,5,31,19,30,19,21,17,39,36,5,10001040100
H,3,5,102,3,10,1059761,1070512,10,3,1,1.0,1.0,,1.0,3.0,2.0,1.0,2.0,0.0,2.0,3.0,80.0,2.0,2.0,,3.0,,3.0,1.0,9.0,900.0,1.0,,,,,3.0,2.0,1.0,5.0,,,1.0,9.0,2.0,1.0,1.0,,1.0,1.0,1.0,2.0,,900000.0,2.0,3.0,250.0,1980.0,,23000.0,4.0,,,1.0,9500.0,56.0,1.0,1.0,2.0,11.0,23000.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,7.0,0.0,3.0,0.0,0.0,0.0,18.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,3.0,347.0,,0.0,1.0,2050.0,1.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,3,3,13,11,12,20,9,3,10,4,3,18,12,22,11,11,21,10,11,4,22,16,11,12,10,3,10,16,11,15,18,4,11,3,11,10,4,13,12,22,3,3,13,10,12,21,10,3,12,3,2,18,11,21,12,11,18,10,10,4,17,18,11,11,10,3,10,16,12,14,19,4,10,4,11,9,4,12,11,10001040100
H,4,5,102,3,10,1105263,1117630,13,1,1,1.0,1.0,,1.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,250.0,2.0,2.0,,2.0,,1.0,1.0,9.0,90.0,1.0,,1.0,450.0,1.0,1.0,2.0,1.0,6.0,,,1.0,9.0,2.0,1.0,2.0,,1.0,2.0,1.0,1.0,,22500.0,2.0,3.0,30.0,1960.0,,,,,,1.0,9500.0,75.0,1.0,1.0,6.0,5.0,32000.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,5.0,0.0,,0.0,0.0,0.0,26.0,0.0,1.0,9.0,0.0,0.0,1.0,1.0,3.0,703.0,3.0,0.0,1.0,825.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,13,14,4,22,15,14,21,11,12,22,14,14,15,20,4,5,4,5,16,23,12,14,3,24,13,11,23,14,13,22,14,14,12,23,4,4,4,4,13,22,13,11,4,25,13,15,23,16,15,27,13,14,13,24,4,4,4,4,11,20,14,12,4,24,12,14,22,14,13,23,13,12,13,22,4,3,4,4,13,10001040100
H,5,5,200,3,10,1000000,1029928,4,6,1,1.0,1.0,,1.0,4.0,2.0,1.0,2.0,0.0,2.0,3.0,170.0,2.0,2.0,,3.0,,3.0,1.0,9.0,1200.0,1.0,,1.0,1000.0,1.0,1.0,2.0,1.0,6.0,,,1.0,9.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,,200000.0,4.0,3.0,800.0,1990.0,1.0,90000.0,2.0,,,1.0,9500.0,36.0,1.0,1.0,1.0,1.0,90000.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,6.0,0.0,0.0,3.0,16.0,0.0,1.0,9.0,0.0,1.0,0.0,0.0,3.0,1237.0,3.0,0.0,1.0,1050.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,1,0,5,5,4,1,6,1,4,7,7,8,4,2,7,5,5,4,4,5,1,1,4,4,4,1,6,2,5,6,8,7,3,1,8,3,3,4,3,5,1,1,3,4,4,1,6,1,4,7,5,5,4,1,6,4,4,4,5,4,1,1,4,5,5,2,8,1,4,8,8,7,4,1,8,4,4,3,10001040100
H,6,5,104,3,10,1059761,1070512,26,2,1,1.0,1.0,,1.0,2.0,3.0,1.0,2.0,0.0,2.0,3.0,100.0,2.0,2.0,,4.0,50.0,1.0,1.0,9.0,500.0,1.0,,1.0,1300.0,1.0,1.0,2.0,1.0,8.0,,,1.0,9.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,,220000.0,2.0,3.0,600.0,1990.0,1.0,69700.0,4.0,,,1.0,9500.0,65.0,1.0,1.0,1.0,2.0,69700.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,26.0,0.0,1.0,9.0,0.0,0.0,2.0,1.0,3.0,1500.0,3.0,0.0,1.0,2450.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,9,23,22,26,24,28,54,25,8,43,24,43,25,7,29,8,41,22,38,8,8,24,28,23,24,25,44,26,7,45,29,48,24,7,25,7,42,24,49,8,8,24,27,24,27,21,35,27,7,45,28,43,26,7,24,7,44,25,48,8,7,23,23,25,25,25,42,26,8,42,22,39,27,7,27,8,44,26,46,10001040100
H,7,5,200,3,10,1000000,1029928,6,2,1,1.0,1.0,,1.0,3.0,3.0,1.0,2.0,0.0,2.0,3.0,100.0,2.0,2.0,,4.0,100.0,1.0,1.0,9.0,530.0,1.0,,1.0,1000.0,1.0,1.0,2.0,1.0,6.0,,,1.0,9.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,,156000.0,2.0,3.0,540.0,2000.0,3.0,,,,,1.0,9500.0,26.0,1.0,1.0,7.0,4.0,56400.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,26.0,4.0,1.0,9.0,0.0,0.0,0.0,0.0,3.0,1245.0,3.0,0.0,1.0,275.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2,5,10,2,2,5,7,12,6,6,6,5,9,7,5,1,2,9,6,11,2,6,11,1,2,5,7,12,6,6,6,6,10,7,5,1,2,8,9,2,11,7,1,12,8,6,7,1,5,6,6,7,2,5,8,12,9,2,5,2,13,6,1,12,8,7,7,2,4,7,6,5,2,6,6,12,10,2,6,10001040100
H,8,5,101,3,10,1046695,1053131,15,4,1,1.0,1.0,,1.0,3.0,2.0,1.0,2.0,0.0,2.0,3.0,250.0,2.0,3.0,250.0,2.0,,1.0,1.0,9.0,800.0,1.0,,2.0,2400.0,1.0,1.0,2.0,1.0,8.0,,,1.0,9.0,2.0,1.0,1.0,500.0,1.0,1.0,1.0,1.0,,260000.0,3.0,3.0,500.0,1940.0,1.0,76800.0,2.0,,,1.0,9500.0,42.0,1.0,1.0,1.0,1.0,76800.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,1.0,4.0,0.0,0.0,1.0,51.0,0.0,1.0,9.0,0.0,1.0,0.0,0.0,3.0,3279.0,2.0,0.0,1.0,0.0,3.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,16,13,24,21,5,21,33,5,13,12,3,16,6,12,16,15,19,15,24,5,18,15,5,11,26,7,4,29,17,14,23,14,29,17,10,13,6,13,6,26,15,14,21,11,5,29,20,5,17,18,6,17,6,20,14,13,25,14,22,5,14,13,5,17,26,4,7,27,10,16,24,13,20,13,19,15,5,14,5,10001040100
H,9,5,200,3,10,1000000,1029928,29,2,1,1.0,1.0,,1.0,3.0,3.0,1.0,2.0,,2.0,3.0,170.0,2.0,2.0,,4.0,60.0,1.0,1.0,9.0,,1.0,,,,,,2.0,1.0,5.0,2.0,1200.0,1.0,9.0,2.0,1.0,1.0,,1.0,1.0,1.0,3.0,,,2.0,3.0,400.0,2000.0,1.0,84000.0,4.0,1463.0,21.0,1.0,9500.0,37.0,1.0,1.0,1.0,2.0,84000.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,9.0,0.0,0.0,0.0,0.0,3.0,,,1.0,0.0,,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,48,27,50,32,30,50,30,52,8,8,29,31,33,45,29,10,27,8,27,46,9,30,10,32,33,9,35,8,46,52,29,32,32,7,31,55,30,38,25,8,45,28,65,27,26,47,34,44,8,9,29,28,27,46,32,8,34,9,30,51,9,27,8,28,35,10,29,9,56,53,36,30,36,9,28,48,29,42,26,10001040100
H,10,5,300,3,10,1059761,1070512,31,2,1,1.0,1.0,,1.0,4.0,2.0,1.0,2.0,0.0,2.0,3.0,100.0,2.0,2.0,,4.0,60.0,2.0,1.0,9.0,1300.0,1.0,,,,,3.0,2.0,1.0,9.0,,,1.0,9.0,2.0,1.0,1.0,,1.0,1.0,1.0,2.0,,499000.0,2.0,3.0,850.0,1980.0,1.0,143000.0,4.0,,,1.0,9500.0,54.0,1.0,1.0,1.0,2.0,143000.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,3.0,468.0,,0.0,1.0,1550.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,30,35,9,51,10,8,32,26,43,47,7,30,32,29,9,29,33,31,9,8,27,33,65,11,57,50,31,27,8,8,48,32,27,39,49,32,32,29,11,8,31,25,49,9,44,55,32,32,10,9,48,29,31,30,54,30,34,37,60,51,30,34,9,48,8,9,25,33,59,53,10,28,35,27,7,29,30,31,49,10001040100
